source_id,rel_type,target_id,properties
SEAT:D-AXFA-1K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-38657""}"
SEAT:D-AXFA-1K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-1K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-2A,{}
SEAT:D-AXFA-2A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-36062""}"
SEAT:D-AXFA-2A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-95181""}"
SEAT:D-AXFA-2A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-2A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-2K,{}
SEAT:D-AXFA-2K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-10851""}"
SEAT:D-AXFA-2K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-30926""}"
SEAT:D-AXFA-2K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-2K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-3A,{}
SEAT:D-AXFA-3A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-54118""}"
SEAT:D-AXFA-3A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-23396""}"
SEAT:D-AXFA-3A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-3A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-3K,{}
SEAT:D-AXFA-3K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-55082""}"
SEAT:D-AXFA-3K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-89131""}"
SEAT:D-AXFA-3K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-3K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-4A,{}
SEAT:D-AXFA-4A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-20328""}"
SEAT:D-AXFA-4A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-82357""}"
SEAT:D-AXFA-4A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-4A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-4K,{}
SEAT:D-AXFA-4K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-35203""}"
SEAT:D-AXFA-4K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-19116""}"
SEAT:D-AXFA-4K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-4K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-1A,{}
SEAT:D-AXFB-1A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-40512""}"
SEAT:D-AXFB-1A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-23238""}"
SEAT:D-AXFB-1A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-1A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-1K,{}
SEAT:D-AXFB-1K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-58520""}"
SEAT:D-AXFB-1K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-56566""}"
SEAT:D-AXFB-1K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-1K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-2A,{}
SEAT:D-AXFB-2A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-93227""}"
SEAT:D-AXFB-2A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-32431""}"
SEAT:D-AXFB-2A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-2A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-2K,{}
SEAT:D-AXFB-2K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-93886""}"
SEAT:D-AXFB-2K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-83000""}"
SEAT:D-AXFB-2K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-2K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-3A,{}
SEAT:D-AXFB-3A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-14207""}"
SEAT:D-AXFB-3A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-51347""}"
SEAT:D-AXFB-3A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-3A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-3K,{}
SEAT:D-AXFB-3K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-51245""}"
SEAT:D-AXFB-3K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-37869""}"
SEAT:D-AXFB-3K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-3K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-4A,{}
SEAT:D-AXFB-4A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-44718""}"
SEAT:D-AXFB-4A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-28301""}"
SEAT:D-AXFB-4A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-4A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFB,HAS_SEAT,SEAT:D-AXFB-4K,{}
SEAT:D-AXFB-4K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-86622""}"
SEAT:D-AXFB-4K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-66155""}"
SEAT:D-AXFB-4K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFB-4K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-1A,{}
SEAT:D-AXFC-1A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-74686""}"
SEAT:D-AXFC-1A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-21915""}"
SEAT:D-AXFC-1A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-1A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-1K,{}
SEAT:D-AXFC-1K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-99192""}"
SEAT:D-AXFC-1K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-65333""}"
SEAT:D-AXFC-1K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-1K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-2A,{}
SEAT:D-AXFC-2A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-42953""}"
SEAT:D-AXFC-2A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-82512""}"
SEAT:D-AXFC-2A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-2A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-2K,{}
SEAT:D-AXFC-2K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-94012""}"
SEAT:D-AXFC-2K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-54587""}"
SEAT:D-AXFC-2K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-2K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-3A,{}
SEAT:D-AXFC-3A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-10425""}"
SEAT:D-AXFC-3A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-44522""}"
SEAT:D-AXFC-3A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-3A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-3K,{}
SEAT:D-AXFC-3K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-93748""}"
SEAT:D-AXFC-3K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-76540""}"
SEAT:D-AXFC-3K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-3K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-4A,{}
SEAT:D-AXFC-4A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-79514""}"
SEAT:D-AXFC-4A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-10074""}"
SEAT:D-AXFC-4A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-4A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFC,HAS_SEAT,SEAT:D-AXFC-4K,{}
SEAT:D-AXFC-4K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-50306""}"
SEAT:D-AXFC-4K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-41385""}"
SEAT:D-AXFC-4K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFC-4K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-1A,{}
SEAT:D-AXFD-1A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-73699""}"
SEAT:D-AXFD-1A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-19071""}"
SEAT:D-AXFD-1A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-1A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-1K,{}
SEAT:D-AXFD-1K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-31643""}"
SEAT:D-AXFD-1K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-44741""}"
SEAT:D-AXFD-1K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-1K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-2A,{}
SEAT:D-AXFD-2A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-50857""}"
SEAT:D-AXFD-2A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-62296""}"
SEAT:D-AXFD-2A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-2A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-2K,{}
SEAT:D-AXFD-2K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-42493""}"
SEAT:D-AXFD-2K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-39451""}"
SEAT:D-AXFD-2K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-2K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-3A,{}
SEAT:D-AXFD-3A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-38864""}"
SEAT:D-AXFD-3A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-10942""}"
SEAT:D-AXFD-3A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-3A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-3K,{}
SEAT:D-AXFD-3K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-14117""}"
SEAT:D-AXFD-3K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-53309""}"
SEAT:D-AXFD-3K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-3K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-4A,{}
SEAT:D-AXFD-4A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-73624""}"
SEAT:D-AXFD-4A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-38080""}"
SEAT:D-AXFD-4A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-4A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFD,HAS_SEAT,SEAT:D-AXFD-4K,{}
SEAT:D-AXFD-4K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-71993""}"
SEAT:D-AXFD-4K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-63354""}"
SEAT:D-AXFD-4K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFD-4K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-1A,{}
SEAT:D-AXFE-1A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-65519""}"
SEAT:D-AXFE-1A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-63883""}"
SEAT:D-AXFE-1A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-1A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-1K,{}
SEAT:D-AXFE-1K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-62772""}"
SEAT:D-AXFE-1K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-54473""}"
SEAT:D-AXFE-1K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-1K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-2A,{}
SEAT:D-AXFE-2A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-68800""}"
SEAT:D-AXFE-2A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-28373""}"
SEAT:D-AXFE-2A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-2A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-2K,{}
SEAT:D-AXFE-2K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-19880""}"
SEAT:D-AXFE-2K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-68082""}"
SEAT:D-AXFE-2K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-2K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-3A,{}
SEAT:D-AXFE-3A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-40982""}"
SEAT:D-AXFE-3A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-31798""}"
SEAT:D-AXFE-3A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-3A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-3K,{}
SEAT:D-AXFE-3K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-17685""}"
SEAT:D-AXFE-3K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-31579""}"
SEAT:D-AXFE-3K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-3K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-4A,{}
SEAT:D-AXFE-4A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-69638""}"
SEAT:D-AXFE-4A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-47388""}"
SEAT:D-AXFE-4A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-4A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFE,HAS_SEAT,SEAT:D-AXFE-4K,{}
SEAT:D-AXFE-4K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-34890""}"
SEAT:D-AXFE-4K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-48890""}"
SEAT:D-AXFE-4K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFE-4K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-1A,{}
SEAT:D-AXFF-1A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-51104""}"
SEAT:D-AXFF-1A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-17492""}"
SEAT:D-AXFF-1A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-1A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-1K,{}
SEAT:D-AXFF-1K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-79615""}"
SEAT:D-AXFF-1K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-30635""}"
SEAT:D-AXFF-1K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-1K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-2A,{}
SEAT:D-AXFF-2A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-87992""}"
SEAT:D-AXFF-2A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-18907""}"
SEAT:D-AXFF-2A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-2A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-2K,{}
SEAT:D-AXFF-2K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-87924""}"
SEAT:D-AXFF-2K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-15209""}"
SEAT:D-AXFF-2K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-2K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-3A,{}
SEAT:D-AXFF-3A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-44179""}"
SEAT:D-AXFF-3A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-36772""}"
SEAT:D-AXFF-3A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-3A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-3K,{}
SEAT:D-AXFF-3K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-98039""}"
SEAT:D-AXFF-3K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-94607""}"
SEAT:D-AXFF-3K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-3K,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-4A,{}
SEAT:D-AXFF-4A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-70068""}"
SEAT:D-AXFF-4A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-91416""}"
SEAT:D-AXFF-4A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-4A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFF,HAS_SEAT,SEAT:D-AXFF-4K,{}
SEAT:D-AXFF-4K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-44760""}"
SEAT:D-AXFF-4K,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-27361""}"
SEAT:D-AXFF-4K,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFF-4K,HAS_COMPONENT,PN:DA-DIV-1180,{}
FC:F-25-2101,ISOLATED_BY,DOC:TSM-25-21-40,{}
FC:F-25-2101,RESOLVED_BY,TASK:TASK-25-21-ACT-REPLACE,{}
TASK:TASK-25-21-ACT-REPLACE,CONSUMES,PN:DA-ACT-2201,{}
TASK:TASK-25-21-ACT-REPLACE,CONSUMES,PN:DA-CON-3390,{}
FC:F-25-2101,PROBABLE_CAUSE,PN:DA-ACT-2201,"{""rank"": 1}"
FC:F-25-2101,PROBABLE_CAUSE,PN:DA-CON-3390,"{""rank"": 2}"
FC:F-25-2140,ISOLATED_BY,DOC:TSM-25-21-55,{}
FC:F-25-2140,RESOLVED_BY,TASK:TASK-25-21-CAN-RESEAT,{}
TASK:TASK-25-21-CAN-RESEAT,CONSUMES,PN:DA-CON-3390,{}
TASK:TASK-25-21-CAN-RESEAT,CONSUMES,PN:DA-HRN-7712,{}
TASK:TASK-25-21-CAN-RESEAT,CONSUMES,PN:DA-SCU-4410,{}
FC:F-25-2140,PROBABLE_CAUSE,PN:DA-CON-3390,"{""rank"": 1}"
FC:F-25-2140,PROBABLE_CAUSE,PN:DA-HRN-7712,"{""rank"": 2}"
FC:F-25-2140,PROBABLE_CAUSE,PN:DA-SCU-4410,"{""rank"": 3}"
FC:F-23-3401,ISOLATED_BY,DOC:TSM-23-34-20,{}
FC:F-23-3401,PROBABLE_CAUSE,PN:DA-IFE-9002,"{""rank"": 1}"
FC:F-25-2166,PROBABLE_CAUSE,PN:DA-PSU-5150,"{""rank"": 1}"
FC:F-25-2188,ISOLATED_BY,DOC:TSM-25-21-88,{}
FC:F-25-2188,PROBABLE_CAUSE,PN:DA-DIV-1180,"{""rank"": 1}"
FC:F-25-2140,AFFECTED_BY,DOC:SB-25-2140-R1,{}
SEAT:D-AXFC-3K,HAD_WORK_ORDER,WO:WO-70013,{}
WO:WO-70013,REPORTED_FAULT,FC:F-25-2140,{}
WO:WO-70013,REPLACED_PART,PN:DA-IFE-9002,{}
WO:WO-70013,PERFORMED_AT,ST:MUC,{}
SEAT:D-AXFD-1K,HAD_WORK_ORDER,WO:WO-70072,{}
WO:WO-70072,REPORTED_FAULT,FC:F-25-2188,{}
WO:WO-70072,PERFORMED_AT,ST:SIN,{}
SEAT:D-AXFE-4A,HAD_WORK_ORDER,WO:WO-70079,{}
WO:WO-70079,REPORTED_FAULT,FC:F-25-2188,{}
WO:WO-70079,PERFORMED_AT,ST:JNB,{}
SEAT:D-AXFD-1K,HAD_WORK_ORDER,WO:WO-70032,{}
WO:WO-70032,REPORTED_FAULT,FC:F-25-2166,{}
WO:WO-70032,REPLACED_PART,PN:DA-PSU-5150,{}
WO:WO-70032,PERFORMED_AT,ST:JNB,{}
SEAT:D-AXFF-2A,HAD_WORK_ORDER,WO:WO-70103,{}
WO:WO-70103,REPORTED_FAULT,FC:F-25-2188,{}
WO:WO-70103,REPLACED_PART,PN:DA-ACT-2205,{}
WO:WO-70103,PERFORMED_AT,ST:HND,{}
SEAT:D-AXFF-3K,HAD_WORK_ORDER,WO:WO-70133,{}
WO:WO-70133,REPORTED_FAULT,FC:F-25-2101,{}
WO:WO-70133,REPLACED_PART,PN:DA-SCU-4410,{}
WO:WO-70133,PERFORMED_AT,ST:SIN,{}
SEAT:D-AXFB-2A,HAD_WORK_ORDER,WO:WO-70078,{}
WO:WO-70078,REPORTED_FAULT,FC:F-25-2166,{}
WO:WO-70078,REPLACED_PART,PN:DA-CSH-0450,{}
WO:WO-70078,PERFORMED_AT,ST:MUC,{}
