node_id,label,properties
ORG:FACIS-MRO-Bravo,Organisation,"{""name"": ""FACIS-MRO-Bravo"", ""role"": ""MRO"", ""federation_member"": true}"
ST:GRU,Station,"{""iata"": ""GRU"", ""name"": ""Sao Paulo Guarulhos"", ""line_maintenance"": false, ""base_maintenance"": false, ""mro_partner"": ""FACIS-MRO-Bravo""}"
ORG:FACIS-MRO-Bravo,Organisation,"{""name"": ""FACIS-MRO-Bravo"", ""role"": ""MRO"", ""federation_member"": true}"
ST:HND,Station,"{""iata"": ""HND"", ""name"": ""Tokyo Haneda"", ""line_maintenance"": true, ""base_maintenance"": false, ""mro_partner"": ""FACIS-MRO-Delta""}"
ORG:FACIS-MRO-Delta,Organisation,"{""name"": ""FACIS-MRO-Delta"", ""role"": ""MRO"", ""federation_member"": true}"
ST:JNB,Station,"{""iata"": ""JNB"", ""name"": ""Johannesburg OR Tambo"", ""line_maintenance"": false, ""base_maintenance"": false, ""mro_partner"": ""FACIS-MRO-Charlie""}"
ORG:FACIS-MRO-Charlie,Organisation,"{""name"": ""FACIS-MRO-Charlie"", ""role"": ""MRO"", ""federation_member"": true}"
ORG:FACIS Demo Airways,Organisation,"{""name"": ""FACIS Demo Airways"", ""role"": ""Operator"", ""federation_member"": true}"
ORG:Suite OEM (synthetic),Organisation,"{""name"": ""Suite OEM (synthetic)"", ""role"": ""Manufacturer"", ""federation_member"": true}"
PN:DA-SCU-4410,Part,"{""part_number"": ""DA-SCU-4410"", ""description"": ""Seat Control Unit (SCU), suite"", ""price_eur"": 4200, ""lead_time_days"": 5, ""rotable"": true, ""ata"": ""25-21""}"
PN:DA-ACT-2201,Part,"{""part_number"": ""DA-ACT-2201"", ""description"": ""Recline actuator, backrest"", ""price_eur"": 1850, ""lead_time_days"": 3, ""rotable"": true, ""ata"": ""25-21""}"
PN:DA-ACT-2205,Part,"{""part_number"": ""DA-ACT-2205"", ""description"": ""Legrest actuator"", ""price_eur"": 1620, ""lead_time_days"": 3, ""rotable"": true, ""ata"": ""25-21""}"
PN:DA-HRN-7712,Part,"{""part_number"": ""DA-HRN-7712"", ""description"": ""Seat harness, CAN segment A"", ""price_eur"": 480, ""lead_time_days"": 10, ""rotable"": false, ""ata"": ""25-21""}"
PN:DA-CON-3390,Part,"{""part_number"": ""DA-CON-3390"", ""description"": ""Connector kit, SCU-to-harness"", ""price_eur"": 120, ""lead_time_days"": 2, ""rotable"": false, ""ata"": ""25-21""}"
PN:DA-IFE-9002,Part,"{""part_number"": ""DA-IFE-9002"", ""description"": ""IFE seat box (SEB), suite"", ""price_eur"": 6100, ""lead_time_days"": 7, ""rotable"": true, ""ata"": ""23-34""}"
PN:DA-PSU-5150,Part,"{""part_number"": ""DA-PSU-5150"", ""description"": ""Seat power supply unit / USB-PD module"", ""price_eur"": 940, ""lead_time_days"": 4, ""rotable"": true, ""ata"": ""25-21""}"
PN:DA-DIV-1180,Part,"{""part_number"": ""DA-DIV-1180"", ""description"": ""Privacy divider drive module"", ""price_eur"": 1310, ""lead_time_days"": 6, ""rotable"": true, ""ata"": ""25-21""}"
PN:DA-CSH-0450,Part,"{""part_number"": ""DA-CSH-0450"", ""description"": ""Cushion set, suite"", ""price_eur"": 780, ""lead_time_days"": 14, ""rotable"": false, ""ata"": ""25-21""}"
SEAT:D-AXFA-1A,Seat,"{""seat_id"": ""D-AXFA-1A"", ""suite"": ""1A"", ""firmware"": ""3.4.1"", ""cycles"": 4857, ""scu_sn"": ""SCU-23434"", ""seb_sn"": ""SEB-98696""}"
SEAT:D-AXFA-1K,Seat,"{""seat_id"": ""D-AXFA-1K"", ""suite"": ""1K"", ""firmware"": ""3.4.1"", ""cycles"": 1720, ""scu_sn"": ""SCU-22280"", ""seb_sn"": ""SEB-38657""}"
SEAT:D-AXFA-2A,Seat,"{""seat_id"": ""D-AXFA-2A"", ""suite"": ""2A"", ""firmware"": ""3.5.2"", ""cycles"": 1634, ""scu_sn"": ""SCU-36062"", ""seb_sn"": ""SEB-95181""}"
SEAT:D-AXFA-2K,Seat,"{""seat_id"": ""D-AXFA-2K"", ""suite"": ""2K"", ""firmware"": ""3.5.2"", ""cycles"": 5757, ""scu_sn"": ""SCU-10851"", ""seb_sn"": ""SEB-30926""}"
SEAT:D-AXFA-3A,Seat,"{""seat_id"": ""D-AXFA-3A"", ""suite"": ""3A"", ""firmware"": ""3.4.1"", ""cycles"": 3747, ""scu_sn"": ""SCU-54118"", ""seb_sn"": ""SEB-23396""}"
SEAT:D-AXFA-3K,Seat,"{""seat_id"": ""D-AXFA-3K"", ""suite"": ""3K"", ""firmware"": ""3.5.0"", ""cycles"": 7081, ""scu_sn"": ""SCU-55082"", ""seb_sn"": ""SEB-89131""}"
SEAT:D-AXFA-4A,Seat,"{""seat_id"": ""D-AXFA-4A"", ""suite"": ""4A"", ""firmware"": ""3.5.0"", ""cycles"": 3245, ""scu_sn"": ""SCU-20328"", ""seb_sn"": ""SEB-82357""}"
SEAT:D-AXFA-4K,Seat,"{""seat_id"": ""D-AXFA-4K"", ""suite"": ""4K"", ""firmware"": ""3.4.1"", ""cycles"": 7125, ""scu_sn"": ""SCU-35203"", ""seb_sn"": ""SEB-19116""}"
SEAT:D-AXFB-1A,Seat,"{""seat_id"": ""D-AXFB-1A"", ""suite"": ""1A"", ""firmware"": ""3.5.2"", ""cycles"": 5941, ""scu_sn"": ""SCU-40512"", ""seb_sn"": ""SEB-23238""}"
SEAT:D-AXFB-1K,Seat,"{""seat_id"": ""D-AXFB-1K"", ""suite"": ""1K"", ""firmware"": ""3.4.1"", ""cycles"": 7177, ""scu_sn"": ""SCU-58520"", ""seb_sn"": ""SEB-56566""}"
SEAT:D-AXFB-2A,Seat,"{""seat_id"": ""D-AXFB-2A"", ""suite"": ""2A"", ""firmware"": ""3.4.1"", ""cycles"": 2369, ""scu_sn"": ""SCU-93227"", ""seb_sn"": ""SEB-32431""}"
SEAT:D-AXFB-2K,Seat,"{""seat_id"": ""D-AXFB-2K"", ""suite"": ""2K"", ""firmware"": ""3.4.1"", ""cycles"": 7416, ""scu_sn"": ""SCU-93886"", ""seb_sn"": ""SEB-83000""}"
SEAT:D-AXFB-3A,Seat,"{""seat_id"": ""D-AXFB-3A"", ""suite"": ""3A"", ""firmware"": ""3.5.2"", ""cycles"": 4952, ""scu_sn"": ""SCU-14207"", ""seb_sn"": ""SEB-51347""}"
SEAT:D-AXFB-3K,Seat,"{""seat_id"": ""D-AXFB-3K"", ""suite"": ""3K"", ""firmware"": ""3.5.2"", ""cycles"": 4656, ""scu_sn"": ""SCU-51245"", ""seb_sn"": ""SEB-37869""}"
SEAT:D-AXFB-4A,Seat,"{""seat_id"": ""D-AXFB-4A"", ""suite"": ""4A"", ""firmware"": ""3.4.1"", ""cycles"": 8717, ""scu_sn"": ""SCU-44718"", ""seb_sn"": ""SEB-28301""}"
SEAT:D-AXFB-4K,Seat,"{""seat_id"": ""D-AXFB-4K"", ""suite"": ""4K"", ""firmware"": ""3.5.2"", ""cycles"": 5504, ""scu_sn"": ""SCU-86622"", ""seb_sn"": ""SEB-66155""}"
SEAT:D-AXFC-1A,Seat,"{""seat_id"": ""D-AXFC-1A"", ""suite"": ""1A"", ""firmware"": ""3.4.1"", ""cycles"": 3466, ""scu_sn"": ""SCU-74686"", ""seb_sn"": ""SEB-21915""}"
SEAT:D-AXFC-1K,Seat,"{""seat_id"": ""D-AXFC-1K"", ""suite"": ""1K"", ""firmware"": ""3.4.1"", ""cycles"": 3821, ""scu_sn"": ""SCU-99192"", ""seb_sn"": ""SEB-65333""}"
SEAT:D-AXFC-2A,Seat,"{""seat_id"": ""D-AXFC-2A"", ""suite"": ""2A"", ""firmware"": ""3.4.1"", ""cycles"": 8868, ""scu_sn"": ""SCU-42953"", ""seb_sn"": ""SEB-82512""}"
SEAT:D-AXFC-2K,Seat,"{""seat_id"": ""D-AXFC-2K"", ""suite"": ""2K"", ""firmware"": ""3.4.1"", ""cycles"": 5571, ""scu_sn"": ""SCU-94012"", ""seb_sn"": ""SEB-54587""}"
SEAT:D-AXFC-3A,Seat,"{""seat_id"": ""D-AXFC-3A"", ""suite"": ""3A"", ""firmware"": ""3.4.1"", ""cycles"": 3791, ""scu_sn"": ""SCU-10425"", ""seb_sn"": ""SEB-44522""}"
SEAT:D-AXFC-3K,Seat,"{""seat_id"": ""D-AXFC-3K"", ""suite"": ""3K"", ""firmware"": ""3.4.1"", ""cycles"": 6089, ""scu_sn"": ""SCU-93748"", ""seb_sn"": ""SEB-76540""}"
SEAT:D-AXFC-4A,Seat,"{""seat_id"": ""D-AXFC-4A"", ""suite"": ""4A"", ""firmware"": ""3.5.0"", ""cycles"": 3846, ""scu_sn"": ""SCU-79514"", ""seb_sn"": ""SEB-10074""}"
SEAT:D-AXFC-4K,Seat,"{""seat_id"": ""D-AXFC-4K"", ""suite"": ""4K"", ""firmware"": ""3.4.1"", ""cycles"": 3032, ""scu_sn"": ""SCU-50306"", ""seb_sn"": ""SEB-41385""}"
SEAT:D-AXFD-1A,Seat,"{""seat_id"": ""D-AXFD-1A"", ""suite"": ""1A"", ""firmware"": ""3.4.1"", ""cycles"": 2490, ""scu_sn"": ""SCU-73699"", ""seb_sn"": ""SEB-19071""}"
SEAT:D-AXFD-1K,Seat,"{""seat_id"": ""D-AXFD-1K"", ""suite"": ""1K"", ""firmware"": ""3.5.2"", ""cycles"": 8987, ""scu_sn"": ""SCU-31643"", ""seb_sn"": ""SEB-44741""}"
SEAT:D-AXFD-2A,Seat,"{""seat_id"": ""D-AXFD-2A"", ""suite"": ""2A"", ""firmware"": ""3.5.0"", ""cycles"": 4495, ""scu_sn"": ""SCU-50857"", ""seb_sn"": ""SEB-62296""}"
SEAT:D-AXFD-2K,Seat,"{""seat_id"": ""D-AXFD-2K"", ""suite"": ""2K"", ""firmware"": ""3.4.1"", ""cycles"": 8597, ""scu_sn"": ""SCU-42493"", ""seb_sn"": ""SEB-39451""}"
SEAT:D-AXFD-3A,Seat,"{""seat_id"": ""D-AXFD-3A"", ""suite"": ""3A"", ""firmware"": ""3.4.1"", ""cycles"": 4970, ""scu_sn"": ""SCU-38864"", ""seb_sn"": ""SEB-10942""}"
SEAT:D-AXFD-3K,Seat,"{""seat_id"": ""D-AXFD-3K"", ""suite"": ""3K"", ""firmware"": ""3.4.1"", ""cycles"": 4950, ""scu_sn"": ""SCU-14117"", ""seb_sn"": ""SEB-53309""}"
SEAT:D-AXFD-4A,Seat,"{""seat_id"": ""D-AXFD-4A"", ""suite"": ""4A"", ""firmware"": ""3.4.1"", ""cycles"": 5762, ""scu_sn"": ""SCU-73624"", ""seb_sn"": ""SEB-38080""}"
SEAT:D-AXFD-4K,Seat,"{""seat_id"": ""D-AXFD-4K"", ""suite"": ""4K"", ""firmware"": ""3.4.1"", ""cycles"": 8944, ""scu_sn"": ""SCU-71993"", ""seb_sn"": ""SEB-63354""}"
SEAT:D-AXFE-1A,Seat,"{""seat_id"": ""D-AXFE-1A"", ""suite"": ""1A"", ""firmware"": ""3.5.2"", ""cycles"": 8262, ""scu_sn"": ""SCU-65519"", ""seb_sn"": ""SEB-63883""}"
SEAT:D-AXFE-1K,Seat,"{""seat_id"": ""D-AXFE-1K"", ""suite"": ""1K"", ""firmware"": ""3.4.1"", ""cycles"": 2812, ""scu_sn"": ""SCU-62772"", ""seb_sn"": ""SEB-54473""}"
SEAT:D-AXFE-2A,Seat,"{""seat_id"": ""D-AXFE-2A"", ""suite"": ""2A"", ""firmware"": ""3.5.2"", ""cycles"": 4316, ""scu_sn"": ""SCU-68800"", ""seb_sn"": ""SEB-28373""}"
SEAT:D-AXFE-2K,Seat,"{""seat_id"": ""D-AXFE-2K"", ""suite"": ""2K"", ""firmware"": ""3.4.1"", ""cycles"": 8779, ""scu_sn"": ""SCU-19880"", ""seb_sn"": ""SEB-68082""}"
SEAT:D-AXFE-3A,Seat,"{""seat_id"": ""D-AXFE-3A"", ""suite"": ""3A"", ""firmware"": ""3.5.2"", ""cycles"": 1441, ""scu_sn"": ""SCU-40982"", ""seb_sn"": ""SEB-31798""}"
SEAT:D-AXFE-3K,Seat,"{""seat_id"": ""D-AXFE-3K"", ""suite"": ""3K"", ""firmware"": ""3.5.2"", ""cycles"": 4702, ""scu_sn"": ""SCU-17685"", ""seb_sn"": ""SEB-31579""}"
SEAT:D-AXFE-4A,Seat,"{""seat_id"": ""D-AXFE-4A"", ""suite"": ""4A"", ""firmware"": ""3.5.2"", ""cycles"": 5545, ""scu_sn"": ""SCU-69638"", ""seb_sn"": ""SEB-47388""}"
SEAT:D-AXFE-4K,Seat,"{""seat_id"": ""D-AXFE-4K"", ""suite"": ""4K"", ""firmware"": ""3.4.1"", ""cycles"": 9173, ""scu_sn"": ""SCU-34890"", ""seb_sn"": ""SEB-48890""}"
SEAT:D-AXFF-1A,Seat,"{""seat_id"": ""D-AXFF-1A"", ""suite"": ""1A"", ""firmware"": ""3.4.1"", ""cycles"": 2198, ""scu_sn"": ""SCU-51104"", ""seb_sn"": ""SEB-17492""}"
SEAT:D-AXFF-1K,Seat,"{""seat_id"": ""D-AXFF-1K"", ""suite"": ""1K"", ""firmware"": ""3.4.1"", ""cycles"": 9438, ""scu_sn"": ""SCU-79615"", ""seb_sn"": ""SEB-30635""}"
SEAT:D-AXFF-2A,Seat,"{""seat_id"": ""D-AXFF-2A"", ""suite"": ""2A"", ""firmware"": ""3.4.1"", ""cycles"": 4244, ""scu_sn"": ""SCU-87992"", ""seb_sn"": ""SEB-18907""}"
SEAT:D-AXFF-2K,Seat,"{""seat_id"": ""D-AXFF-2K"", ""suite"": ""2K"", ""firmware"": ""3.4.1"", ""cycles"": 5233, ""scu_sn"": ""SCU-87924"", ""seb_sn"": ""SEB-15209""}"
SEAT:D-AXFF-3A,Seat,"{""seat_id"": ""D-AXFF-3A"", ""suite"": ""3A"", ""firmware"": ""3.5.0"", ""cycles"": 9765, ""scu_sn"": ""SCU-44179"", ""seb_sn"": ""SEB-36772""}"
SEAT:D-AXFF-3K,Seat,"{""seat_id"": ""D-AXFF-3K"", ""suite"": ""3K"", ""firmware"": ""3.5.0"", ""cycles"": 7684, ""scu_sn"": ""SCU-98039"", ""seb_sn"": ""SEB-94607""}"
SEAT:D-AXFF-4A,Seat,"{""seat_id"": ""D-AXFF-4A"", ""suite"": ""4A"", ""firmware"": ""3.4.1"", ""cycles"": 2388, ""scu_sn"": ""SCU-70068"", ""seb_sn"": ""SEB-91416""}"
SEAT:D-AXFF-4K,Seat,"{""seat_id"": ""D-AXFF-4K"", ""suite"": ""4K"", ""firmware"": ""3.5.0"", ""cycles"": 4692, ""scu_sn"": ""SCU-44760"", ""seb_sn"": ""SEB-27361""}"
FC:F-25-2101,FaultCode,"{""code"": ""F-25-2101"", ""label"": ""Recline actuator degradation"", ""description"": ""Gearbox wear: motor current climbs cycle over cycle, position undershoot grows, ends in stall / thermal cutout."", ""nff_prone"": false, ""blocks_sale"": true}"
DOC:TSM-25-21-40,Document,"{""doc_id"": ""TSM-25-21-40"", ""doc_type"": ""TSM""}"
TASK:TASK-25-21-ACT-REPLACE,Procedure,"{""task_id"": ""TASK-25-21-ACT-REPLACE""}"
FC:F-25-2140,FaultCode,"{""code"": ""F-25-2140"", ""label"": ""Intermittent CAN bus fault on seat segment"", ""description"": ""Loose/corroded connector. Error bursts correlate with airframe vibration (climb, turbulence, landing). Reproduces almost never on a static ground test -> classic No-Fault-Found candidate."", ""nff_prone"": true, ""blocks_sale"": true}"
DOC:TSM-25-21-55,Document,"{""doc_id"": ""TSM-25-21-55"", ""doc_type"": ""TSM""}"
TASK:TASK-25-21-CAN-RESEAT,Procedure,"{""task_id"": ""TASK-25-21-CAN-RESEAT""}"
FC:F-23-3401,FaultCode,"{""code"": ""F-23-3401"", ""label"": ""IFE seat box thermal shutdown"", ""description"": ""SEB cooling degradation: box temperature ramps during long cruise, triggers protective shutdown, recovers after cool-down."", ""nff_prone"": true, ""blocks_sale"": false}"
DOC:TSM-23-34-20,Document,"{""doc_id"": ""TSM-23-34-20"", ""doc_type"": ""TSM""}"
FC:F-25-2166,FaultCode,"{""code"": ""F-25-2166"", ""label"": ""USB-PD port overcurrent lockout"", ""description"": ""Power module latches off after repeated overcurrent events. Cabin-comfort item, suite stays sellable."", ""nff_prone"": false, ""blocks_sale"": false}"
FC:F-25-2188,FaultCode,"{""code"": ""F-25-2188"", ""label"": ""Privacy divider drive stall"", ""description"": ""Divider fails to reach fully-stowed position. Safety-relevant for taxi/take-off/landing -> suite is not sellable."", ""nff_prone"": false, ""blocks_sale"": true}"
DOC:TSM-25-21-88,Document,"{""doc_id"": ""TSM-25-21-88"", ""doc_type"": ""TSM""}"
DOC:AMM-25-21-11,Document,"{""doc_id"": ""AMM-25-21-11""}"
DOC:MEL-25-21-02,Document,"{""doc_id"": ""MEL-25-21-02""}"
DOC:SB-25-2140-R1,Document,"{""doc_id"": ""SB-25-2140-R1""}"
DOC:OPS-NFF-01,Document,"{""doc_id"": ""OPS-NFF-01""}"
DOC:OPS-GT-01,Document,"{""doc_id"": ""OPS-GT-01""}"
WO:WO-70013,WorkOrder,"{""work_order_id"": ""WO-70013"", ""outcome"": ""NFF"", ""opened_at"": ""2024-09-14T07:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 35250, ""action"": ""Functional test only, no defect found""}"
WO:WO-70072,WorkOrder,"{""work_order_id"": ""WO-70072"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-09-14T17:00:00Z"", ""station"": ""SIN"", ""cost_eur"": 0, ""action"": ""Component replaced""}"
WO:WO-70079,WorkOrder,"{""work_order_id"": ""WO-70079"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-09-17T00:00:00Z"", ""station"": ""JNB"", ""cost_eur"": 0, ""action"": ""Cleaning and lubrication""}"
WO:WO-70032,WorkOrder,"{""work_order_id"": ""WO-70032"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-09-22T20:00:00Z"", ""station"": ""JNB"", ""cost_eur"": 3800, ""action"": ""Connector re-seated and locked""}"
WO:WO-70103,WorkOrder,"{""work_order_id"": ""WO-70103"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-09-23T02:00:00Z"", ""station"": ""HND"", ""cost_eur"": 13800, ""action"": ""Functional test only, no defect found""}"
WO:WO-70133,WorkOrder,"{""work_order_id"": ""WO-70133"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-10-01T00:00:00Z"", ""station"": ""SIN"", ""cost_eur"": 3800, ""action"": ""Connector re-seated and locked""}"
WO:WO-70078,WorkOrder,"{""work_order_id"": ""WO-70078"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-10-01T05:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 3800, ""action"": ""Software reload""}"
WO:WO-70063,WorkOrder,"{""work_order_id"": ""WO-70063"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-10-04T12:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 3800, ""action"": ""Software reload""}"
WO:WO-70059,WorkOrder,"{""work_order_id"": ""WO-70059"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-10-05T04:00:00Z"", ""station"": ""JNB"", ""cost_eur"": 0, ""action"": ""Cleaning and lubrication""}"
WO:WO-70087,WorkOrder,"{""work_order_id"": ""WO-70087"", ""outcome"": ""NFF"", ""opened_at"": ""2024-11-06T00:00:00Z"", ""station"": ""SIN"", ""cost_eur"": 5250, ""action"": ""Software reload""}"
WO:WO-70096,WorkOrder,"{""work_order_id"": ""WO-70096"", ""outcome"": ""NFF"", ""opened_at"": ""2024-11-07T11:00:00Z"", ""station"": ""JFK"", ""cost_eur"": 15250, ""action"": ""Connector re-seated and locked""}"
WO:WO-70002,WorkOrder,"{""work_order_id"": ""WO-70002"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-11-08T21:00:00Z"", ""station"": ""HND"", ""cost_eur"": 3800, ""action"": ""Harness segment replaced""}"
WO:WO-70121,WorkOrder,"{""work_order_id"": ""WO-70121"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-11-10T09:00:00Z"", ""station"": ""JNB"", ""cost_eur"": 23800, ""action"": ""Component replaced""}"
WO:WO-70031,WorkOrder,"{""work_order_id"": ""WO-70031"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-11-11T03:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 3800, ""action"": ""Harness segment replaced""}"
WO:WO-70083,WorkOrder,"{""work_order_id"": ""WO-70083"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-11-19T03:00:00Z"", ""station"": ""FRA"", ""cost_eur"": 33800, ""action"": ""Software reload""}"
WO:WO-70095,WorkOrder,"{""work_order_id"": ""WO-70095"", ""outcome"": ""NFF"", ""opened_at"": ""2024-11-27T22:00:00Z"", ""station"": ""JFK"", ""cost_eur"": 0, ""action"": ""Connector re-seated and locked""}"
WO:WO-70106,WorkOrder,"{""work_order_id"": ""WO-70106"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-12-01T05:00:00Z"", ""station"": ""SIN"", ""cost_eur"": 3800, ""action"": ""Cleaning and lubrication""}"
WO:WO-70097,WorkOrder,"{""work_order_id"": ""WO-70097"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-12-02T23:00:00Z"", ""station"": ""FRA"", ""cost_eur"": 0, ""action"": ""Cleaning and lubrication""}"
WO:WO-70025,WorkOrder,"{""work_order_id"": ""WO-70025"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-12-05T18:00:00Z"", ""station"": ""GRU"", ""cost_eur"": 33800, ""action"": ""Connector re-seated and locked""}"
WO:WO-70009,WorkOrder,"{""work_order_id"": ""WO-70009"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-12-15T14:00:00Z"", ""station"": ""FRA"", ""cost_eur"": 33800, ""action"": ""Cleaning and lubrication""}"
WO:WO-70099,WorkOrder,"{""work_order_id"": ""WO-70099"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2024-12-21T08:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 13800, ""action"": ""Connector re-seated and locked""}"
WO:WO-70117,WorkOrder,"{""work_order_id"": ""WO-70117"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-01-04T07:00:00Z"", ""station"": ""JNB"", ""cost_eur"": 0, ""action"": ""Harness segment replaced""}"
WO:WO-70010,WorkOrder,"{""work_order_id"": ""WO-70010"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-01-05T23:00:00Z"", ""station"": ""FRA"", ""cost_eur"": 33800, ""action"": ""Software reload""}"
WO:WO-70007,WorkOrder,"{""work_order_id"": ""WO-70007"", ""outcome"": ""NFF"", ""opened_at"": ""2025-01-14T07:00:00Z"", ""station"": ""SIN"", ""cost_eur"": 25250, ""action"": ""Functional test only, no defect found""}"
WO:WO-70024,WorkOrder,"{""work_order_id"": ""WO-70024"", ""outcome"": ""NFF"", ""opened_at"": ""2025-01-15T15:00:00Z"", ""station"": ""FRA"", ""cost_eur"": 5250, ""action"": ""Connector re-seated and locked""}"
WO:WO-70065,WorkOrder,"{""work_order_id"": ""WO-70065"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-01-18T18:00:00Z"", ""station"": ""JFK"", ""cost_eur"": 33800, ""action"": ""Component replaced""}"
WO:WO-70115,WorkOrder,"{""work_order_id"": ""WO-70115"", ""outcome"": ""NFF"", ""opened_at"": ""2025-01-18T20:00:00Z"", ""station"": ""HND"", ""cost_eur"": 0, ""action"": ""Connector re-seated and locked""}"
WO:WO-70129,WorkOrder,"{""work_order_id"": ""WO-70129"", ""outcome"": ""NFF"", ""opened_at"": ""2025-01-28T19:00:00Z"", ""station"": ""JFK"", ""cost_eur"": 5250, ""action"": ""Harness segment replaced""}"
WO:WO-70052,WorkOrder,"{""work_order_id"": ""WO-70052"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-02-02T12:00:00Z"", ""station"": ""JNB"", ""cost_eur"": 13800, ""action"": ""Cleaning and lubrication""}"
WO:WO-70012,WorkOrder,"{""work_order_id"": ""WO-70012"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-02-04T11:00:00Z"", ""station"": ""SIN"", ""cost_eur"": 3800, ""action"": ""Software reload""}"
WO:WO-70118,WorkOrder,"{""work_order_id"": ""WO-70118"", ""outcome"": ""NFF"", ""opened_at"": ""2025-02-06T02:00:00Z"", ""station"": ""JFK"", ""cost_eur"": 5250, ""action"": ""Functional test only, no defect found""}"
WO:WO-70105,WorkOrder,"{""work_order_id"": ""WO-70105"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-02-08T11:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 3800, ""action"": ""Connector re-seated and locked""}"
WO:WO-70092,WorkOrder,"{""work_order_id"": ""WO-70092"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-02-15T15:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 3800, ""action"": ""Component replaced""}"
WO:WO-70135,WorkOrder,"{""work_order_id"": ""WO-70135"", ""outcome"": ""CONFIRMED_FAULT"", ""opened_at"": ""2025-03-01T04:00:00Z"", ""station"": ""MUC"", ""cost_eur"": 13800, ""action"": ""Harness segment replaced""}"
