flight_id,registration,dep_station,arr_station,std,sta,block_hours,ground_time_h_at_arrival,pax_first_class
FD4051,D-AXFE,MUC,HND,2026-09-02T17:18:00Z,2026-09-03T04:48:00Z,11.5,2.0,3
FD4004,D-AXFA,JFK,FRA,2026-09-02T17:30:00Z,2026-09-03T01:00:00Z,7.5,2.5,4
FD4040,D-AXFD,SIN,FRA,2026-09-02T19:30:00Z,2026-09-03T08:30:00Z,13.0,2.0,4
FD4028,D-AXFC,JNB,MUC,2026-09-02T19:48:00Z,2026-09-03T06:36:00Z,10.8,1.5,4
FD4015,D-AXFB,FRA,SIN,2026-09-02T22:00:00Z,2026-09-03T10:30:00Z,12.5,12.0,6
FD4005,D-AXFA,FRA,SIN,2026-09-03T03:30:00Z,2026-09-03T16:00:00Z,12.5,2.5,6
FD4064,D-AXFF,JFK,FRA,2026-09-03T04:30:00Z,2026-09-03T12:00:00Z,7.5,2.5,7
FD4052,D-AXFE,HND,MUC,2026-09-03T06:48:00Z,2026-09-03T19:18:00Z,12.5,3.0,8
FD4029,D-AXFC,MUC,JNB,2026-09-03T08:06:00Z,2026-09-03T18:36:00Z,10.5,2.0,5
FD4041,D-AXFD,FRA,GRU,2026-09-03T10:30:00Z,2026-09-03T22:18:00Z,11.8,2.5,3
FD4065,D-AXFF,FRA,GRU,2026-09-03T14:30:00Z,2026-09-04T02:18:00Z,11.8,3.0,6
FD4006,D-AXFA,SIN,FRA,2026-09-03T18:30:00Z,2026-09-04T07:30:00Z,13.0,3.0,7
FD4030,D-AXFC,JNB,MUC,2026-09-03T20:36:00Z,2026-09-04T07:24:00Z,10.8,2.5,3
FD4053,D-AXFE,MUC,JNB,2026-09-03T22:18:00Z,2026-09-04T08:48:00Z,10.5,2.5,3
FD4016,D-AXFB,SIN,FRA,2026-09-03T22:30:00Z,2026-09-04T11:30:00Z,13.0,3.0,3
FD4042,D-AXFD,GRU,FRA,2026-09-04T00:48:00Z,2026-09-04T11:42:00Z,10.9,1.5,7
FD4066,D-AXFF,GRU,FRA,2026-09-04T05:18:00Z,2026-09-04T16:12:00Z,10.9,8.0,3
FD4031,D-AXFC,MUC,HND,2026-09-04T09:54:00Z,2026-09-04T21:24:00Z,11.5,2.5,3
FD4007,D-AXFA,FRA,GRU,2026-09-04T10:30:00Z,2026-09-04T22:18:00Z,11.8,12.0,6
FD4054,D-AXFE,JNB,MUC,2026-09-04T11:18:00Z,2026-09-04T22:06:00Z,10.8,2.5,8
FD4043,D-AXFD,FRA,JFK,2026-09-04T13:12:00Z,2026-09-04T21:42:00Z,8.5,8.0,7
FD4017,D-AXFB,FRA,SIN,2026-09-04T14:30:00Z,2026-09-05T03:00:00Z,12.5,2.5,4
FD4032,D-AXFC,HND,MUC,2026-09-04T23:54:00Z,2026-09-05T12:24:00Z,12.5,8.0,5
FD4067,D-AXFF,FRA,JFK,2026-09-05T00:12:00Z,2026-09-05T08:42:00Z,8.5,12.0,5
FD4055,D-AXFE,MUC,JNB,2026-09-05T00:36:00Z,2026-09-05T11:06:00Z,10.5,12.0,6
FD4018,D-AXFB,SIN,FRA,2026-09-05T05:30:00Z,2026-09-05T18:30:00Z,13.0,12.0,4
FD4044,D-AXFD,JFK,FRA,2026-09-05T05:42:00Z,2026-09-05T13:12:00Z,7.5,8.0,6
FD4008,D-AXFA,GRU,FRA,2026-09-05T10:18:00Z,2026-09-05T21:12:00Z,10.9,1.5,6
FD4033,D-AXFC,MUC,HND,2026-09-05T20:24:00Z,2026-09-06T07:54:00Z,11.5,12.0,6
FD4068,D-AXFF,JFK,FRA,2026-09-05T20:42:00Z,2026-09-06T04:12:00Z,7.5,1.5,3
FD4045,D-AXFD,FRA,JFK,2026-09-05T21:12:00Z,2026-09-06T05:42:00Z,8.5,3.0,5
FD4009,D-AXFA,FRA,JFK,2026-09-05T22:42:00Z,2026-09-06T07:12:00Z,8.5,2.0,6
FD4056,D-AXFE,JNB,MUC,2026-09-05T23:06:00Z,2026-09-06T09:54:00Z,10.8,12.0,4
FD4069,D-AXFF,FRA,SIN,2026-09-06T05:42:00Z,2026-09-06T18:12:00Z,12.5,12.0,7
FD4019,D-AXFB,FRA,JFK,2026-09-06T06:30:00Z,2026-09-06T15:00:00Z,8.5,12.0,7
FD4046,D-AXFD,JFK,FRA,2026-09-06T08:42:00Z,2026-09-06T16:12:00Z,7.5,2.5,7
FD4010,D-AXFA,JFK,FRA,2026-09-06T09:12:00Z,2026-09-06T16:42:00Z,7.5,2.5,5
FD4047,D-AXFD,FRA,GRU,2026-09-06T18:42:00Z,2026-09-07T06:30:00Z,11.8,1.5,7
FD4011,D-AXFA,FRA,JFK,2026-09-06T19:12:00Z,2026-09-07T03:42:00Z,8.5,2.5,7
FD4034,D-AXFC,HND,MUC,2026-09-06T19:54:00Z,2026-09-07T08:24:00Z,12.5,1.5,7
FD4057,D-AXFE,MUC,JNB,2026-09-06T21:54:00Z,2026-09-07T08:24:00Z,10.5,12.0,7
FD4020,D-AXFB,JFK,FRA,2026-09-07T03:00:00Z,2026-09-07T10:30:00Z,7.5,3.0,7
FD4012,D-AXFA,JFK,FRA,2026-09-07T06:12:00Z,2026-09-07T13:42:00Z,7.5,8.0,3
FD4070,D-AXFF,SIN,FRA,2026-09-07T06:12:00Z,2026-09-07T19:12:00Z,13.0,12.0,5
FD4048,D-AXFD,GRU,FRA,2026-09-07T08:00:00Z,2026-09-07T18:54:00Z,10.9,2.0,8
FD4035,D-AXFC,MUC,JNB,2026-09-07T09:54:00Z,2026-09-07T20:24:00Z,10.5,3.0,6
FD4021,D-AXFB,FRA,GRU,2026-09-07T13:30:00Z,2026-09-08T01:18:00Z,11.8,2.5,6
FD4058,D-AXFE,JNB,MUC,2026-09-07T20:24:00Z,2026-09-08T07:12:00Z,10.8,3.0,3
FD4036,D-AXFC,JNB,MUC,2026-09-07T23:24:00Z,2026-09-08T10:12:00Z,10.8,2.5,4
FD4022,D-AXFB,GRU,FRA,2026-09-08T03:48:00Z,2026-09-08T14:42:00Z,10.9,2.5,8
FD4071,D-AXFF,FRA,GRU,2026-09-08T07:12:00Z,2026-09-08T19:00:00Z,11.8,1.5,4
FD4059,D-AXFE,MUC,HND,2026-09-08T10:12:00Z,2026-09-08T21:42:00Z,11.5,12.0,4
FD4023,D-AXFB,FRA,JFK,2026-09-08T17:12:00Z,2026-09-09T01:42:00Z,8.5,2.5,5
FD4072,D-AXFF,GRU,FRA,2026-09-08T20:30:00Z,2026-09-09T07:24:00Z,10.9,8.0,8
FD4024,D-AXFB,JFK,FRA,2026-09-09T04:12:00Z,2026-09-09T11:42:00Z,7.5,2.0,3
FD4060,D-AXFE,HND,MUC,2026-09-09T09:42:00Z,2026-09-09T22:12:00Z,12.5,2.0,3
