log_id,flight_id,registration,seat_id,suite,reported_at,reported_by,text,pax_impact
CL-525,FD4041,D-AXFD,D-AXFD-4K,4K,2026-09-03T22:18:00Z,CSD,"4K: USB dead, no light on the port.",reduced comfort
CL-526,FD4042,D-AXFD,D-AXFD-4K,4K,2026-09-04T11:42:00Z,Cabin crew F,"4K: USB dead, no light on the port.",no impact
CL-527,FD4043,D-AXFD,D-AXFD-4K,4K,2026-09-04T21:42:00Z,Cabin crew F,"USB socket 4K not charging, pax used the spare seat.",pax reseated
CL-528,FD4053,D-AXFE,D-AXFE-1A,1A,2026-09-04T08:48:00Z,Cabin crew F,"1A divider stuck approx. 20 cm out, cabin crew secured it manually.",pax reseated
CL-529,FD4054,D-AXFE,D-AXFE-1A,1A,2026-09-04T22:06:00Z,Purser,"1A divider stuck approx. 20 cm out, cabin crew secured it manually.",pax reseated
CL-530,FD4055,D-AXFE,D-AXFE-1A,1A,2026-09-05T11:06:00Z,CSD,"1A divider stuck approx. 20 cm out, cabin crew secured it manually.",seat unusable
CL-531,FD4055,D-AXFE,D-AXFE-1K,1K,2026-09-05T11:06:00Z,Purser,"1K cushion cover loose, cosmetic only.",pax reseated
CL-532,FD4054,D-AXFE,D-AXFE-3K,3K,2026-09-04T22:06:00Z,Purser,"3K cushion cover loose, cosmetic only.",reduced comfort
CL-533,FD4055,D-AXFE,D-AXFE-3K,3K,2026-09-05T11:06:00Z,Cabin crew F,"3K cushion cover loose, cosmetic only.",reduced comfort
CL-534,FD4056,D-AXFE,D-AXFE-3K,3K,2026-09-06T09:54:00Z,Cabin crew F,"3K cushion cover loose, cosmetic only.",seat unusable
CL-535,FD4064,D-AXFF,D-AXFF-1A,1A,2026-09-03T12:00:00Z,Cabin crew F,"Suite 1A: cosmetic scuff on the table edge, no function impact.",no impact
CL-536,FD4065,D-AXFF,D-AXFF-1A,1A,2026-09-04T02:18:00Z,Cabin crew F,"1A cushion cover loose, cosmetic only.",reduced comfort
CL-537,FD4066,D-AXFF,D-AXFF-1A,1A,2026-09-04T16:12:00Z,CSD,"Suite 1A: cosmetic scuff on the table edge, no function impact.",seat unusable
CL-538,FD4067,D-AXFF,D-AXFF-2K,2K,2026-09-05T08:42:00Z,Cabin crew F,"2K cushion cover loose, cosmetic only.",reduced comfort
CL-539,FD4068,D-AXFF,D-AXFF-2K,2K,2026-09-06T04:12:00Z,CSD,"2K cushion cover loose, cosmetic only.",seat unusable
CL-540,FD4069,D-AXFF,D-AXFF-2K,2K,2026-09-06T18:12:00Z,CSD,"Suite 2K: cosmetic scuff on the table edge, no function impact.",reduced comfort
CL-541,FD4068,D-AXFF,D-AXFF-3A,3A,2026-09-06T04:12:00Z,CSD,"Suite 3A: cosmetic scuff on the table edge, no function impact.",no impact
CL-542,FD4069,D-AXFF,D-AXFF-3A,3A,2026-09-06T18:12:00Z,Cabin crew F,"Suite 3A: cosmetic scuff on the table edge, no function impact.",reduced comfort
CL-543,FD4070,D-AXFF,D-AXFF-3A,3A,2026-09-07T19:12:00Z,Purser,"3A cushion cover loose, cosmetic only.",seat unusable
