seat_id,registration,suite,cabin_zone,seat_pn,seat_sn,scu_pn,scu_sn,seb_pn,seb_sn,firmware_version,install_date,actuation_cycles,last_scheduled_check,sellable
D-AXFB-2A,D-AXFB,2A,FC,DA-STE-1000,SN-738720,DA-SCU-4410,SCU-93227,DA-IFE-9002,SEB-32431,3.4.1,2025-06-04,2369,2026-05-01,True
D-AXFB-2K,D-AXFB,2K,FC,DA-STE-1000,SN-383060,DA-SCU-4410,SCU-93886,DA-IFE-9002,SEB-83000,3.4.1,2024-07-09,7416,2026-08-13,True
D-AXFB-3A,D-AXFB,3A,FC,DA-STE-1000,SN-961722,DA-SCU-4410,SCU-14207,DA-IFE-9002,SEB-51347,3.5.2,2024-11-02,4952,2026-08-11,True
D-AXFB-3K,D-AXFB,3K,FC,DA-STE-1000,SN-694731,DA-SCU-4410,SCU-51245,DA-IFE-9002,SEB-37869,3.5.2,2024-02-14,4656,2026-03-16,True
D-AXFB-4A,D-AXFB,4A,FC,DA-STE-1000,SN-249811,DA-SCU-4410,SCU-44718,DA-IFE-9002,SEB-28301,3.4.1,2023-03-12,8717,2026-04-12,True
D-AXFB-4K,D-AXFB,4K,FC,DA-STE-1000,SN-883300,DA-SCU-4410,SCU-86622,DA-IFE-9002,SEB-66155,3.5.2,2024-04-23,5504,2026-07-02,True
D-AXFC-1A,D-AXFC,1A,FC,DA-STE-1000,SN-634277,DA-SCU-4410,SCU-74686,DA-IFE-9002,SEB-21915,3.4.1,2025-09-22,3466,2026-07-19,True
D-AXFC-1K,D-AXFC,1K,FC,DA-STE-1000,SN-930555,DA-SCU-4410,SCU-99192,DA-IFE-9002,SEB-65333,3.4.1,2024-03-07,3821,2026-05-22,True
D-AXFC-2A,D-AXFC,2A,FC,DA-STE-1000,SN-654816,DA-SCU-4410,SCU-42953,DA-IFE-9002,SEB-82512,3.4.1,2025-09-12,8868,2026-03-06,True
D-AXFC-2K,D-AXFC,2K,FC,DA-STE-1000,SN-905934,DA-SCU-4410,SCU-94012,DA-IFE-9002,SEB-54587,3.4.1,2024-09-10,5571,2026-05-08,True
D-AXFC-3A,D-AXFC,3A,FC,DA-STE-1000,SN-575763,DA-SCU-4410,SCU-10425,DA-IFE-9002,SEB-44522,3.4.1,2023-06-30,3791,2026-07-31,True
D-AXFC-3K,D-AXFC,3K,FC,DA-STE-1000,SN-982554,DA-SCU-4410,SCU-93748,DA-IFE-9002,SEB-76540,3.4.1,2025-06-25,6089,2026-05-24,True
D-AXFC-4A,D-AXFC,4A,FC,DA-STE-1000,SN-665579,DA-SCU-4410,SCU-79514,DA-IFE-9002,SEB-10074,3.5.0,2023-08-08,3846,2026-08-23,True
D-AXFC-4K,D-AXFC,4K,FC,DA-STE-1000,SN-480612,DA-SCU-4410,SCU-50306,DA-IFE-9002,SEB-41385,3.4.1,2024-12-27,3032,2026-04-04,True
D-AXFD-1A,D-AXFD,1A,FC,DA-STE-1000,SN-189814,DA-SCU-4410,SCU-73699,DA-IFE-9002,SEB-19071,3.4.1,2025-08-15,2490,2026-03-12,True
D-AXFD-1K,D-AXFD,1K,FC,DA-STE-1000,SN-676510,DA-SCU-4410,SCU-31643,DA-IFE-9002,SEB-44741,3.5.2,2025-02-25,8987,2026-04-11,True
D-AXFD-2A,D-AXFD,2A,FC,DA-STE-1000,SN-847581,DA-SCU-4410,SCU-50857,DA-IFE-9002,SEB-62296,3.5.0,2023-11-19,4495,2026-04-17,True
D-AXFD-2K,D-AXFD,2K,FC,DA-STE-1000,SN-226882,DA-SCU-4410,SCU-42493,DA-IFE-9002,SEB-39451,3.4.1,2024-06-11,8597,2026-08-22,True
D-AXFD-3A,D-AXFD,3A,FC,DA-STE-1000,SN-717024,DA-SCU-4410,SCU-38864,DA-IFE-9002,SEB-10942,3.4.1,2022-10-20,4970,2026-08-12,True
D-AXFD-3K,D-AXFD,3K,FC,DA-STE-1000,SN-170674,DA-SCU-4410,SCU-14117,DA-IFE-9002,SEB-53309,3.4.1,2023-06-17,4950,2026-06-28,True
D-AXFD-4A,D-AXFD,4A,FC,DA-STE-1000,SN-801474,DA-SCU-4410,SCU-73624,DA-IFE-9002,SEB-38080,3.4.1,2023-02-20,5762,2026-04-02,True
D-AXFD-4K,D-AXFD,4K,FC,DA-STE-1000,SN-354801,DA-SCU-4410,SCU-71993,DA-IFE-9002,SEB-63354,3.4.1,2025-10-23,8944,2026-08-03,True
D-AXFE-1A,D-AXFE,1A,FC,DA-STE-1000,SN-471507,DA-SCU-4410,SCU-65519,DA-IFE-9002,SEB-63883,3.5.2,2026-01-14,8262,2026-03-08,True
D-AXFE-1K,D-AXFE,1K,FC,DA-STE-1000,SN-163556,DA-SCU-4410,SCU-62772,DA-IFE-9002,SEB-54473,3.4.1,2024-12-11,2812,2026-07-09,True
D-AXFE-2A,D-AXFE,2A,FC,DA-STE-1000,SN-662336,DA-SCU-4410,SCU-68800,DA-IFE-9002,SEB-28373,3.5.2,2025-04-24,4316,2026-06-17,True
D-AXFE-2K,D-AXFE,2K,FC,DA-STE-1000,SN-361941,DA-SCU-4410,SCU-19880,DA-IFE-9002,SEB-68082,3.4.1,2026-01-21,8779,2026-03-14,True
D-AXFE-3A,D-AXFE,3A,FC,DA-STE-1000,SN-197793,DA-SCU-4410,SCU-40982,DA-IFE-9002,SEB-31798,3.5.2,2023-08-14,1441,2026-04-26,True
D-AXFE-3K,D-AXFE,3K,FC,DA-STE-1000,SN-520521,DA-SCU-4410,SCU-17685,DA-IFE-9002,SEB-31579,3.5.2,2026-04-30,4702,2026-05-20,True
D-AXFE-4A,D-AXFE,4A,FC,DA-STE-1000,SN-922157,DA-SCU-4410,SCU-69638,DA-IFE-9002,SEB-47388,3.5.2,2023-03-23,5545,2026-03-11,True
D-AXFE-4K,D-AXFE,4K,FC,DA-STE-1000,SN-262316,DA-SCU-4410,SCU-34890,DA-IFE-9002,SEB-48890,3.4.1,2026-01-05,9173,2026-04-01,True
D-AXFF-1A,D-AXFF,1A,FC,DA-STE-1000,SN-884309,DA-SCU-4410,SCU-51104,DA-IFE-9002,SEB-17492,3.4.1,2023-01-24,2198,2026-04-27,True
D-AXFF-1K,D-AXFF,1K,FC,DA-STE-1000,SN-994141,DA-SCU-4410,SCU-79615,DA-IFE-9002,SEB-30635,3.4.1,2023-06-29,9438,2026-08-07,True
D-AXFF-2A,D-AXFF,2A,FC,DA-STE-1000,SN-171849,DA-SCU-4410,SCU-87992,DA-IFE-9002,SEB-18907,3.4.1,2024-01-29,4244,2026-07-28,True
D-AXFF-2K,D-AXFF,2K,FC,DA-STE-1000,SN-707040,DA-SCU-4410,SCU-87924,DA-IFE-9002,SEB-15209,3.4.1,2023-12-28,5233,2026-03-12,True
D-AXFF-3A,D-AXFF,3A,FC,DA-STE-1000,SN-431737,DA-SCU-4410,SCU-44179,DA-IFE-9002,SEB-36772,3.5.0,2025-01-01,9765,2026-06-21,True
D-AXFF-3K,D-AXFF,3K,FC,DA-STE-1000,SN-237235,DA-SCU-4410,SCU-98039,DA-IFE-9002,SEB-94607,3.5.0,2023-10-11,7684,2026-06-08,True
D-AXFF-4A,D-AXFF,4A,FC,DA-STE-1000,SN-109767,DA-SCU-4410,SCU-70068,DA-IFE-9002,SEB-91416,3.4.1,2025-12-05,2388,2026-04-12,True
D-AXFF-4K,D-AXFF,4K,FC,DA-STE-1000,SN-630458,DA-SCU-4410,SCU-44760,DA-IFE-9002,SEB-27361,3.5.0,2025-12-15,4692,2026-06-26,True
